fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance_km,pickup_hour,pickup_dayofweek,pickup_month,pickup_day,peak_hour,pickup_day_name
49.57,2009-08-07 10:43:07+00:00,-73.975058,40.78882,-73.975058,40.78882,1,0,10,4,8,7,0,Friday
7.7,2010-09-08 10:16:01+00:00,-73.987383,40.721255,-73.954733,40.730683,1,2.944303655,10,2,9,8,0,Wednesday
5.3,2012-04-05 18:10:00+00:00,-73.971503,40.760135,-73.961437,40.768975,1,1.298034281,18,3,4,5,1,Thursday
4.5,2010-09-22 12:15:00+00:00,-73.98192,40.761172,-74.016152,40.704765,1,6.90359557,12,2,9,22,0,Wednesday
7.3,2010-01-23 03:24:00+00:00,-74.008325,40.725947,-73.988232,40.720322,1,1.805093407,3,5,1,23,0,Saturday
6.5,2013-02-15 18:49:00+00:00,-73.992605,40.733957,-73.980698,40.742135,1,1.354001876,18,4,2,15,1,Friday
5.3,2012-08-12 18:48:00+00:00,-73.986465,40.755052,-73.996115,40.744817,3,1.398577461,18,6,8,12,1,Sunday
9.3,2010-03-12 12:07:38+00:00,-73.95771,40.765555,-73.970059,40.762758,1,1.085533306,12,4,3,12,0,Friday
3.7,2009-04-14 11:49:40+00:00,-73.976459,40.744077,-73.983699,40.734203,1,1.256002731,11,1,4,14,0,Tuesday
4,2014-04-27 13:02:13+00:00,-73.950582,40.786452,-73.9575,40.776686,1,1.232283734,13,6,4,27,0,Sunday
9.5,2015-04-11 08:47:47+00:00,-73.9784317,40.75239944,-74.00042725,40.74211884,1,2.177181862,8,5,4,11,1,Saturday
4.5,2011-10-03 20:29:00+00:00,-73.990055,40.756413,-73.983047,40.756727,3,0.591308972,20,0,10,3,0,Monday
3.3,2010-04-26 03:12:44+00:00,-73.982326,40.731314,-73.989649,40.734398,1,0.7059199,3,0,4,26,0,Monday
30.9,2011-11-18 09:51:00+00:00,-73.995888,40.759078,-73.865005,40.770452,1,11.09511082,9,4,11,18,1,Friday
26.9,2009-08-30 14:03:55+00:00,-73.990137,40.756007,-73.929361,40.774553,1,5.518253928,14,6,8,30,0,Sunday
9,2014-02-19 18:02:00+00:00,-73.95828,40.7689,-73.97351,40.782907,5,2.017540513,18,2,2,19,1,Wednesday
4.1,2011-02-20 21:01:58+00:00,-73.977633,40.753166,-73.981589,40.757359,1,0.57307366,21,6,2,20,0,Sunday
14.9,2011-02-04 11:48:00+00:00,-73.962218,40.640218,-73.968043,40.640505,1,0.492525883,11,4,2,4,0,Friday
6.5,2009-07-31 09:29:00+00:00,-74.000545,40.737462,-74.009545,40.713217,5,2.800569077,9,4,7,31,1,Friday
43,2015-05-15 18:58:16+00:00,-73.86270142,40.76895905,-73.9990921,40.74182892,2,11.87774445,18,4,5,15,1,Friday
8,2012-12-04 22:12:00+00:00,-73.984463,40.742792,-73.97735,40.761375,5,2.151449844,22,1,12,4,0,Tuesday
6,2015-04-21 01:38:11+00:00,-73.95018768,40.7192955,-73.94046021,40.72421265,1,0.985374692,1,1,4,21,0,Tuesday
4,2013-05-03 18:26:00+00:00,-73.988752,40.758687,-73.98508,40.773772,1,1.705643694,18,4,5,3,1,Friday
3.7,2010-03-30 21:29:00+00:00,-73.984218,40.732007,-73.979443,40.727617,5,0.632594877,21,1,3,30,0,Tuesday
10.1,2012-03-07 17:34:45+00:00,-73.99268,40.768321,-74.00233,40.746864,2,2.520556441,17,2,3,7,1,Wednesday
18,2015-01-30 22:04:27+00:00,-73.95474243,40.68746948,-73.98821259,40.73051071,1,5.555583502,22,4,1,30,0,Friday
5.7,2009-02-04 18:22:03+00:00,-73.988433,40.737176,-73.981018,40.747329,1,1.290270009,18,2,2,4,1,Wednesday
6.5,2012-06-10 15:18:00+00:00,-73.964187,40.757303,-73.983382,40.743835,1,2.20389763,15,6,6,10,0,Sunday
35.3,2009-05-15 21:06:32+00:00,-73.776743,40.645374,-73.913408,40.745943,1,16.05626751,21,4,5,15,0,Friday
6.1,2012-07-19 17:49:00+00:00,-73.997893,40.735897,-74.006543,40.746245,5,1.362006773,17,3,7,19,1,Thursday
4.9,2011-06-19 18:23:00+00:00,-73.985758,40.753255,-73.98142,40.746513,1,0.833995163,18,6,6,19,1,Sunday
6.1,2011-07-22 22:06:41+00:00,-73.9956,40.754782,-74.002493,40.734401,1,2.339478333,22,4,7,22,0,Friday
10,2013-02-25 15:56:00+00:00,-73.976022,40.76004,-73.982853,40.74504,1,1.764386412,15,0,2,25,0,Monday
10.5,2014-06-15 15:25:59+00:00,-73.988604,40.778445,-73.994931,40.749954,1,3.212554419,15,6,6,15,0,Sunday
8.9,2012-04-25 18:17:58+00:00,-73.997975,40.720503,-74.001847,40.737797,1,1.950487166,18,2,4,25,1,Wednesday
13,2013-03-28 14:03:00+00:00,-74.006395,40.749657,-73.978468,40.753897,5,2.3992142,14,3,3,28,0,Thursday
6.9,2012-01-25 00:20:00+00:00,-73.990318,40.737122,-73.97627,40.744955,1,1.469475296,0,2,1,25,0,Wednesday
9.7,2009-11-02 09:27:00+00:00,-73.982613,40.771843,-73.978862,40.754318,2,1.974132091,9,0,11,2,1,Monday
10.1,2009-09-12 01:47:00+00:00,-73.980253,40.765255,-73.974253,40.731925,2,3.740433286,1,5,9,12,0,Saturday
9.7,2011-07-06 17:15:14+00:00,-73.954797,40.767289,-73.974788,40.754888,1,2.176308356,17,2,7,6,1,Wednesday
5.3,2010-09-21 12:38:00+00:00,-73.956158,40.781593,-73.966138,40.773645,1,1.21952173,12,1,9,21,0,Tuesday
5.7,2010-01-14 06:47:15+00:00,-73.991201,40.750336,-73.977786,40.75239,1,1.152871281,6,3,1,14,0,Thursday
7.5,2014-11-10 05:48:48+00:00,-73.975132,40.73302,-73.977113,40.752058,1,2.123497519,5,0,11,10,0,Monday
10.5,2010-09-10 16:28:00+00:00,-73.995627,40.749295,-73.965087,40.77161,1,3.573956143,16,4,9,10,1,Friday
6.1,2010-11-24 18:13:00+00:00,-73.985523,40.760627,-73.989185,40.774452,1,1.567898805,18,2,11,24,1,Wednesday
6.5,2015-04-04 22:40:32+00:00,-74.00299072,40.73112869,-74.00541687,40.74004364,1,1.01215402,22,5,4,4,0,Saturday
7.7,2009-01-04 13:51:00+00:00,-73.962497,40.76308,-73.98472,40.736343,1,3.513300763,13,6,1,4,0,Sunday
6.1,2010-09-22 00:13:20+00:00,-74.001561,40.735996,-73.986623,40.74737,2,1.784196009,0,2,9,22,0,Wednesday
8.9,2009-06-02 00:29:00+00:00,-74.008055,40.711553,-73.997185,40.679587,1,3.670690803,0,1,6,2,0,Tuesday
9,2013-08-18 01:30:00+00:00,-73.978163,40.74563,-73.952042,40.773192,2,3.772658804,1,6,8,18,0,Sunday
15,2014-09-23 00:15:52+00:00,-73.994126,40.750917,-73.949428,40.781336,1,5.060737421,0,1,9,23,0,Tuesday
15,2015-01-14 21:56:18+00:00,-73.98861694,40.74912643,-73.95635986,40.74752045,4,2.723182087,21,2,1,14,0,Wednesday
12.9,2009-09-03 14:52:00+00:00,-74.010698,40.710985,-73.991138,40.750717,1,4.71541293,14,3,9,3,0,Thursday
7.5,2014-04-21 20:40:00+00:00,-73.976543,40.788207,-73.954575,40.777842,1,2.179308514,20,0,4,21,0,Monday
9.5,2015-04-06 19:31:59+00:00,-74.0065918,40.74441147,-73.9863739,40.74319077,2,1.708661324,19,0,4,6,1,Monday
5.3,2011-09-13 12:05:30+00:00,-73.965744,40.754379,-73.9672,40.765067,1,1.194761568,12,1,9,13,0,Tuesday
8,2015-02-10 15:21:15+00:00,-73.99436951,40.7466774,-73.97766876,40.73911667,1,1.639019972,15,1,2,10,0,Tuesday
11.3,2009-12-01 11:47:00+00:00,-73.944435,40.778137,-73.980463,40.782295,3,3.06855657,11,1,12,1,0,Tuesday
38.54,2015-06-16 09:54:20+00:00,-73.86276245,40.7687912,-73.97873688,40.75304031,6,9.923554942,9,1,6,16,1,Tuesday
6.1,2009-09-04 10:58:06+00:00,-73.968942,40.785745,-73.963131,40.774204,1,1.373411125,10,4,9,4,0,Friday
18,2015-02-13 23:24:04+00:00,-73.98103333,40.75872803,-73.95498657,40.73442078,2,3.481375586,23,4,2,13,0,Friday
6,2015-04-04 11:38:38+00:00,-73.98799133,40.7493782,-73.98880768,40.75851822,1,1.018646786,11,5,4,4,0,Saturday
12.5,2013-05-10 15:10:00+00:00,-73.991377,40.70255,-73.999735,40.734407,1,3.611691383,15,4,5,10,0,Friday
16.5,2010-04-13 00:10:05+00:00,-73.987152,40.750756,-73.90238,40.741637,1,7.213007056,0,1,4,13,0,Tuesday
5.5,2013-01-30 14:17:55+00:00,-73.974978,40.762812,-73.981365,40.756102,1,0.91982589,14,2,1,30,0,Wednesday
13.7,2011-10-19 10:19:31+00:00,-73.992956,40.754508,-73.999118,40.722575,1,3.588540066,10,2,10,19,0,Wednesday
8.9,2010-11-15 18:45:00+00:00,-74.00662,40.704113,-74.009975,40.735007,1,3.446872405,18,0,11,15,1,Monday
4,2015-02-10 05:50:51+00:00,-73.94662476,40.77677917,-73.95352936,40.77990723,5,0.677481449,5,1,2,10,0,Tuesday
4.9,2010-05-24 17:57:00+00:00,-73.976452,40.780742,-73.980342,40.770673,2,1.166553119,17,0,5,24,1,Monday
4.9,2010-06-01 14:13:38+00:00,-73.968681,40.754807,-73.97859,40.756029,1,0.845628589,14,1,6,1,0,Tuesday
8.5,2012-09-19 13:52:17+00:00,-73.958542,40.780734,-73.975443,40.777022,2,1.481727645,13,2,9,19,0,Wednesday
3.7,2011-02-14 10:17:48+00:00,-73.980351,40.780344,-73.980011,40.785561,1,0.580809822,10,0,2,14,0,Monday
6.5,2014-06-24 09:52:00+00:00,-74.015122,40.715795,-74.008495,40.72814,5,1.481959832,9,1,6,24,1,Tuesday
4.9,2009-09-08 20:54:13+00:00,-73.97647,40.735987,-73.981563,40.728817,1,0.905423709,20,1,9,8,0,Tuesday
9.3,2012-01-12 16:39:00+00:00,-73.954282,40.764102,-73.973425,40.782708,1,2.622751278,16,3,1,12,1,Thursday
29,2012-10-16 13:13:00+00:00,-73.8709,40.7738,-73.981742,40.767455,1,9.360768534,13,1,10,16,0,Tuesday
6.5,2010-01-29 19:26:41+00:00,-73.985129,40.778954,-73.980585,40.765687,1,1.524041091,19,4,1,29,1,Friday
8.2,2009-01-26 20:46:01+00:00,-73.98349,40.765833,-73.961351,40.768866,1,1.894701717,20,0,1,26,0,Monday
11,2013-05-30 20:38:11+00:00,-73.988536,40.753911,-73.989873,40.726236,3,3.079380482,20,3,5,30,0,Thursday
4.5,2014-01-22 21:01:18+00:00,-73.992937,40.75778,-73.992937,40.75778,1,0,21,2,1,22,0,Wednesday
4.5,2013-06-08 07:24:00+00:00,-73.992667,40.753087,-73.986788,40.761582,5,1.066522887,7,5,6,8,1,Saturday
9,2014-04-19 02:10:00+00:00,-73.997222,40.763667,-74.010617,40.730022,3,3.907626453,2,5,4,19,0,Saturday
5,2013-10-14 20:28:00+00:00,-73.97274,40.798322,-73.961262,40.806462,1,1.323869897,20,0,10,14,0,Monday
7.3,2012-06-26 08:43:49+00:00,-73.989391,40.752278,-73.972785,40.74995,1,1.422572997,8,1,6,26,1,Tuesday
9.5,2015-02-26 02:30:00+00:00,-73.98402405,40.72166061,-74.01074982,40.71681213,1,2.315974542,2,3,2,26,0,Thursday
7.5,2015-02-18 01:55:20+00:00,-74.00408173,40.74240112,-73.98440552,40.74317169,1,1.659865091,1,2,2,18,0,Wednesday
7.7,2010-11-13 00:25:33+00:00,-73.974445,40.764015,-73.983595,40.744184,2,2.33591767,0,5,11,13,0,Saturday
9.7,2009-05-26 21:57:00+00:00,-74.007912,40.73873,-73.977505,40.761727,1,3.61936051,21,1,5,26,0,Tuesday
15,2015-01-16 19:54:02+00:00,-74.00211334,40.75183868,-73.99172211,40.7264595,1,2.954715136,19,4,1,16,1,Friday
8,2013-05-16 22:16:45+00:00,-73.995759,40.759149,-73.991388,40.750227,3,1.058195767,22,3,5,16,0,Thursday
13.7,2010-10-06 19:29:00+00:00,-73.985623,40.763017,-74.009812,40.719408,5,5.259919249,19,2,10,6,1,Wednesday
6,2015-01-10 12:39:47+00:00,-73.98212433,40.75581741,-73.9708252,40.75574875,1,0.951757259,12,5,1,10,0,Saturday
7.7,2011-06-17 21:30:00+00:00,-73.977147,40.789653,-73.954115,40.773782,5,2.622029993,21,4,6,17,0,Friday
10.5,2011-09-14 20:56:00+00:00,-73.981387,40.758807,-73.947467,40.779305,1,3.654415744,20,2,9,14,0,Wednesday
22,2013-01-30 18:53:09+00:00,-73.983363,40.744282,-73.973965,40.795451,1,5.744512115,18,2,1,30,1,Wednesday
7.5,2014-03-25 20:14:00+00:00,-73.97287,40.76444,-73.98842,40.76914,1,1.40999161,20,1,3,25,0,Tuesday
11.5,2015-02-25 19:43:28+00:00,-73.96995544,40.78917694,-73.94616699,40.77772903,5,2.373158559,19,2,2,25,1,Wednesday
4.5,2012-03-02 20:16:00+00:00,-73.98613,40.763425,-73.977522,40.765007,5,0.745997294,20,4,3,2,0,Friday
8.1,2011-05-05 20:41:00+00:00,-73.96494,40.775277,-73.975652,40.791703,1,2.037025946,20,3,5,5,0,Thursday
14.5,2012-01-25 10:01:00+00:00,-73.954252,40.7665,-73.989683,40.736847,1,4.447406006,10,2,1,25,0,Wednesday
18,2012-11-17 23:42:10+00:00,-73.965344,40.806353,-73.976358,40.750622,1,6.266013221,23,5,11,17,0,Saturday
8.1,2010-09-10 01:17:00+00:00,-73.982563,40.727365,-73.953233,40.777548,1,6.102563366,1,4,9,10,0,Friday
4.5,2011-09-13 13:21:49+00:00,-73.995027,40.744631,-74.000213,40.7352,1,1.136058369,13,1,9,13,0,Tuesday
3.3,2011-10-08 20:06:00+00:00,-74.001113,40.741735,-73.998253,40.745095,3,0.444568951,20,5,10,8,0,Saturday
19.7,2012-05-13 13:54:45+00:00,-73.963411,40.798469,-74.000779,40.729345,1,8.305578986,13,6,5,13,0,Sunday
8.1,2012-04-14 02:17:00+00:00,-73.981785,40.763397,-74.004152,40.742437,1,2.996927072,2,5,4,14,0,Saturday
6.5,2010-09-24 12:14:00+00:00,-73.972497,40.75278,-73.95885,40.763898,3,1.688067448,12,4,9,24,0,Friday
14.5,2014-05-28 01:00:00+00:00,-74.005477,40.738575,-73.972722,40.756735,5,3.419249669,1,2,5,28,0,Wednesday
10.5,2012-08-07 20:53:18+00:00,-73.96593,40.805358,-73.949923,40.778868,1,3.239156117,20,1,8,7,0,Tuesday
8.9,2009-09-24 16:21:42+00:00,-73.95208,40.790119,-73.963637,40.79809,1,1.316090937,16,3,9,24,1,Thursday
14.1,2011-04-03 00:01:40+00:00,-74.00019,40.718336,-73.956801,40.764745,1,6.323957675,0,6,4,3,0,Sunday
6.1,2012-03-22 07:14:24+00:00,-73.965017,40.764308,-73.981057,40.760887,1,1.40344743,7,3,3,22,1,Thursday
7.3,2011-04-22 10:14:49+00:00,-73.984784,40.736512,-73.976727,40.751746,1,1.824872722,10,4,4,22,0,Friday
23,2012-11-14 21:24:52+00:00,-73.863088,40.769212,-73.95195,40.729382,1,8.697644455,21,2,11,14,0,Wednesday
5.3,2009-11-16 21:23:00+00:00,-74.00921,40.706383,-74.009173,40.716762,1,1.154096357,21,0,11,16,0,Monday
45,2010-11-13 07:21:00+00:00,-73.971663,40.757812,-73.789273,40.64179,1,20.07106208,7,5,11,13,1,Saturday
20.1,2011-06-08 04:32:42+00:00,-73.990166,40.756562,-73.923268,40.825475,2,9.509767853,4,2,6,8,0,Wednesday
5.7,2011-11-04 01:30:04+00:00,-74.001563,40.739345,-74.008126,40.723898,1,1.804455058,1,4,11,4,0,Friday
3.7,2009-03-24 23:06:00+00:00,-73.974302,40.761193,-73.971943,40.759643,5,0.263022676,23,1,3,24,0,Tuesday
5.5,2013-09-03 07:36:50+00:00,-73.985698,40.748747,-73.974357,40.744135,1,1.084324908,7,1,9,3,1,Tuesday
6.1,2010-05-15 19:25:39+00:00,-73.978788,40.755519,-73.975802,40.765463,1,1.133962395,19,5,5,15,1,Saturday
8.5,2011-01-16 00:21:00+00:00,-73.959753,40.777137,-73.966547,40.804235,1,3.066964359,0,6,1,16,0,Sunday
4.1,2010-05-26 16:15:00+00:00,-73.959427,40.774613,-73.952647,40.780213,5,0.84478678,16,2,5,26,1,Wednesday
8,2015-05-01 17:29:32+00:00,-73.99208069,40.75920868,-73.98408508,40.78045654,1,2.456726995,17,4,5,1,1,Friday
9.5,2013-09-21 18:38:40+00:00,-73.995559,40.695197,-73.974702,40.687741,1,1.944125614,18,5,9,21,1,Saturday
17.5,2009-02-17 18:07:37+00:00,-73.97411,40.750564,-73.88238,40.755801,1,7.748637552,18,1,2,17,1,Tuesday
4.1,2009-05-11 19:55:08+00:00,-73.959091,40.799481,-73.967406,40.802026,1,0.754945355,19,0,5,11,1,Monday
15.7,2011-06-07 22:37:09+00:00,-73.9773,40.7519,-74.0125,40.7015,1,6.340791643,22,1,6,7,0,Tuesday
5.3,2009-05-31 05:41:33+00:00,-73.934317,40.797407,-73.917871,40.807013,1,1.748470752,5,6,5,31,0,Sunday
